Case ID,Narrative Link,caseid_name,TIES,TIES_code,PIIE,PIIE_code,GSDB,GSDB_code,ccode_target,state2,sender1,sender2,primarysender,institution,institutionid,startmonth,startday,startyear,endmonth,endday,endyear,ongoingasofmonth,ongoingasofday,ongoingasofyear,duration,verified,10,issue2,econ_issue,nonecon_issue,threatsanct,threatsanct_type,imposesanct,imposesanct_type,diplomatic,democracy_target,UNSC,Tibet,Taiwan,human_rights,severity_CES,anticSender_CES,anticTarget_CES,SenderCost_CES,TargetCost_TWL,smart_TIES,smart_CES,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,finaloutcome,sendersettlenature,tgtsettlenature,targetcapitulate,chinaoutcome,success,PRC_leader,PRCleader_1,China_Target_MID,China_Initiator_MID
196701710235,https://docs.google.com/document/d/1ydWjzlx_VRV2mhfgxVTPt_gMRnrAo7UplGoAbUzYbi8/edit,12-3 Incident in Macau,1,1967012401,0,,0,,235,Portugal,710,,710,0,,1,24,1967,1,29,1967,,,,5,1,8,,0,1,1,3,1,10,1,0,0,0,0,1,5,1,2,1,1,1,1,1,24,1967,7,8,2,1,6,1,Mao Zedong,1,0,0
197707710339,https://drive.google.com/file/d/1H0FcXWAsg75sjYy0gaxX6GE6igQ2LKNx/view?usp=sharing,Albanian Anti-China Rhetoric,1,1977070801,1,,1,14,339,Albania,710,,710,0,,7,8,1977,10,4,1983,,,,2279,1,7,,0,1,1,8,1,"7,8,1",1,0,0,0,0,0,10,2,2,3,3,0,0,7,8,1977,9,5,5,0,0,0,Hua Guofeng,2,0,0
202005710900,https://docs.google.com/document/d/1N18Yxzjkw2-QpZcQiwnJtGOXcLvTUhNHZSgDdJsm_Nk/edit?usp=sharing,Australia Barley Ban,0,.,0,,0,,900,Australia,710,,710,0,,5,,2020,,,,,,,,1,7,13,1,1,0,4,1,3,0,1,0,0,0,0,6,1,2,1,1,1,1,,,,9,5,5,0,0,0,Xi Jinping,6,0,0
201902710900,https://docs.google.com/document/d/1LMgJr5M2cTNWRsY8LAQjMIZ_8Ha0ak7tSzseTJ6FczA/edit?usp=sharing,Australia Coal Ban,0,.,0,,0,,900,Australia,710,,710,0,,2,,2019,,,,4,,2019,,1,7,13,1,1,0,4,1,3,0,1,0,0,0,0,7,2,2,2,2,1,1,2,,2019,9,5,5,0,0,0,Xi Jinping,1,0,0
201801710002,https://docs.google.com/document/d/1xdFkhXKjTK9Dx706fKMiZDNTlvyknJ6x0QbSif0Zs4U/edit?usp=sharing,Blocking Marriott,0,.,0,,0,,2,United States of America,710,,710,0,,7,,2018,,,2018,,,,,1,,,0,1,1,,1,10,0,1,0,0,1,1,1,1,1,1,1,1,1,,,,6,5,5,1,2,1,Xi Jinping,1,1,1
20074710816,https://docs.google.com/document/d/1hLaY6xzOt4LDBP9wG2MhWB6FWHu24XH_iQKU8xE3I-I/edit,BP Halts Oil Exploration,0,,0,,0,,816,"Vietnam, Democratic Republic of",710,,710,0,,4,12,2007,6,13,2007,,,,641,0,5,15,0,0,1,1,0,,0,0,0,0,0,0,3,1,1,1,1,0,1,,,,9,5,5,0,0,0,Hu Jintao,5,0,0
196706710775,https://drive.google.com/file/d/1WeUhbrplc9X6G4VLeI2nK2UWdMJtFrJj/view?usp=sharing,Burma Riots,1,1967062801,0,,1,663,775,Myanmar,710,,710,0,,6,28,1967,10,7,1971,,,,1562,1,4,8,1,1,1,2,1,7,1,0,0,0,0,0,10,2,3,2,3,1,0,7,7,1967,9,5,5,0,0,0,Mao Zedong,1,0,0
201812710020,https://docs.google.com/document/d/17_jOCQMnFzErb0U4zAGoorfExO8V9oXpnNNKLN4G9WA/edit?usp=sharing,Canada Canola Ban,0,.,0,,0,,20,Canada,710,,710,0,,12,,2018,,,,,,2020,,0,4,13,1,1,0,0,1,3,0,1,0,0,0,0,5,1,1,1,1,1,1,3,,2019,8,4,6,0,-2,0,Xi Jinping,1,0,0
201906710020,https://docs.google.com/document/d/1ufpgSrIildYn-OVHR-BFzUclb54jxyt-UPSxEHVid6Y/edit,China Arrests Canadian Michael Kovrig,0,.,0,,0,,20,Canada,710,,710,0,,6,19,2019,,,,9,22,2020,,0,4,,0,1,0,0,1,10,1,1,0,0,0,0,5,1,1,1,1,1,1,,,2019,9,5,5,0,0,0,Xi Jinping,1,0,0
199704710390,https://drive.google.com/file/d/1kRlIXAThejrV5xiNOSGeNH_734Kloati/view?usp=sharing,China Denmark Human Rights,1,1997040801,0,,0,,390,Denmark,710,,710,0,4400,4,8,1997,5,22,1997,,,,44,1,10,,0,1,1,1,1,9,1,1,0,0,0,1,6,1,2,1,1,1,1,,,,9,6,4,0,2,0,Jiang Zemin,4,0,0
201009710740,https://drive.google.com/file/d/1g_aW4mmyMEUWkPPew6Rz34ZeHaHTl33v/view?usp=sharing,China Halts Rare Earth Mineral Exports to Japan,0,.,0,,0,,740,Japan,710,,710,0,,9,7,2010,,,2010,,,,109,0,4,5,0,1,0,1,1,"4, 10",0,1,0,1,0,0,9,2,3,2,2,1,1,9,21,2010,10,5,5,0,0,0,Hu Jintao,5,0,1
201507710640,https://drive.google.com/file/d/1Jr_to7tmLy63dt2dC5LsyY8bJwITjd-X/view?usp=sharing,China issues travel warning on Turkey,0,.,0,,0,,640,Turkey (Ottoman Empire),710,,710,0,,7,6,2015,,,,1,6,2021,,1,10,,0,1,1,"9, 10",1,"8, 9",1,0,0,0,0,1,2,1,1,1,1,1,1,7,,2015,9,5,5,0,0,0,Xi Jinping,1,0,0
201900710002,https://docs.google.com/document/d/1IoUkq0FJqAqjWUmmKtksN-9wm63zfz90Dkk3Mqq8oIg/edit,China Limits Tourism to the US,0,.,0,,0,,2,United States of America,710,,710,0,,,,2019,,,,,,,,1,15,,0,1,0,9,1,9,0,1,0,0,1,0,4,1,1,1,1,1,1,,,2019,9,5,5,0,0,0,Xi Jinping,6,1,1
199404710002,https://drive.google.com/file/d/1cnN9NPCtYNgiawT-zzjlKYOSAEtQ2frv/view?usp=sharing,China Retaliates to MFN III (Clinton II),1,1994041201,0,,0,,2,United States of America,710,,710,0,,4,12,1994,2,26,1995,,,,320,1,13,,1,0,1,4,0,0,1,1,0,1,1,0,4,1,1,1,1,1,1,,,,5,5,5,1,0,1,Jiang Zemin,4,0,0
