Case ID,Narrative Link.x,caseid_name,TIES,TIES_code,PIIE,PIIE_code,GSDB,GSDB_code,ccode_target,state2,sender1,sender2,primarysender,institution,institutionid,startmonth,startday,startyear,endmonth,endday,endyear,ongoingasofmonth,ongoingasofday,ongoingasofyear,duration,verified,10,issue2,econ_issue,nonecon_issue,threatsanct,threatsanct_type,imposesanct,imposesanct_type,diplomatic,democracy_target,UNSC,human_rights,severity_CES,anticSender_CES,anticTarget_CES,SenderCost_CES,TargetCost_TWL,smart_TIES,smart_CES,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,finaloutcome,sendersettlenature,tgtsettlenature,targetcapitulate,chinaoutcome,success,PRC_leader,PRCleader_1,,,,,,,,,,,,,,,,,,,,
196612710235,https://docs.google.com/document/d/1ydWjzlx_VRV2mhfgxVTPt_gMRnrAo7UplGoAbUzYbi8/export?format=pdf,12-3 Incident in Macau (Portugal),1,1967012401,0,,0,,235,Portugal,710,,710,0,,1,24,1967,1,29,1967,,,,5,1,8,,0,1,1,3,1,10,1,0,0,1,5,1,2,1,1,1,1,1,24,1967,7,8,2,1,6,1,Mao Zedong,1,,,,,,,,,,,,,,,,,,,,
196706710775,https://docs.google.com/document/d/1Ypx8WRjmrwI6gvnYYN1XqDMj_XCsTQkPg7WIo5vh9uE/export?format=pdf,Burma Riots,1,1967062801,0,,1,663,775,Myanmar,710,,710,0,,6,28,1967,10,7,1971,,,,1562,1,4,8,1,1,1,2,1,7,1,0,0,0,10,2,3,2,3,1,0,7,7,1967,9,5,5,0,0,0,Mao Zedong,1,,,,,,,,,,,,,,,,,,,,
197707710339,https://docs.google.com/document/d/123B8ngQmyW3i69F90X3w-W9aNitn_RilCELRbbfnP-I/export?format=pdf,Albanian Anti-China Rhetoric,1,1977070801,1,,1,14,339,Albania,710,,710,0,,7,8,1977,10,4,1983,,,,2279,1,7,,0,1,1,8,1,"7,8,1",1,0,0,0,10,2,2,3,3,0,0,7,8,1977,9,5,5,0,0,0,Hua Guofeng,2,,,,,,,,,,,,,,,,,,,,
197902710816,https://docs.google.com/document/d/1oFXa4PQey--96hLBuTBeUG3LCex7_dHbm64pDYOx3rc/export?format=pdf,Sino-Vietnamese Split,1,1978051201,1,,1,909,816,"Vietnam, Democratic Republic of",710,,710,0,,5,12,1978,,,1988,,,,3521,1,8,7,0,0,1,8,1,7,0,0,0,0,9,2,2,2,2,0,0,5,30,1978,10,5,5,1,0,1,Hua Guofeng,2,,,,,,,,,,,,,,,,,,,,
198101710210,https://docs.google.com/document/d/16udWqm2OshLXgBfF0kezv69fVSyiDTWg_LztoHq4wG8/export?format=pdf,Netherlands Taiwan Arms Sales,0,,0,,0,,210,Netherlands,710,,710,0,,,,1981,2,1,1984,,,,1126,1,9,5,0,1,0,0,1,9,1,1,0,0,5,1,1,1,1,1,1,2,,1981,7,9,1,1,8,1,Deng Xiaoping,3,,,,,,,,,,,,,,,,,,,,
198208710002,https://docs.google.com/document/d/1mHeMy-gGO5UwEJJcR-mmG0dpeppDV8lOK2haachfUJ4/export?format=pdf,Hu Na Asylum (USA),0,,0,,0,,2,United States of America,710,,710,0,,8,17,1982,,,1984,,,,,1,10,15,0,1,1,10,0,0,1,1,0,1,2,1,1,1,1,1,1,4,,1983,4,5,5,0,0,0,Deng Xiaoping,3,,,,,,,,,,,,,,,,,,,,
1983010201,,Unverifiable,1,1983010201,0,,0,,2,United States of America,710,,710,0,,1,2,1983,,,,,,,,0,13,,0,0,1,4,0,,0,1,0,0,0,0,0,0,0,1,0,1,2,1983,4,,,0,,0,Deng Xiaoping,3,,,,,,,,,,,,,,,,,,,,
1987119901,,Unverifiable,1,1987119901,0,,0,,740,Japan,710,,710,0,,5,6,1987,8,12,1988,,,,464,0,6,,0,0,1,10,1,3,0,1,0,0,0,0,0,0,0,1,0,11,,1987,6,8,2,1,,1,Deng Xiaoping,3,,,,,,,,,,,,,,,,,,,,
199109710220,https://docs.google.com/document/d/1bNUn67vioKXyAk7HnKrhmQzhgCe_IyBMZpHOk2Uo6mg/export?format=pdf,China sanctions France for Arms Sales to Taiwan,0,.,0,,1,350,220,France,710,,710,0,,8,,1991,1,,1994,,,,884,1,9,5,0,1,0,1,1,9,1,1,0,0,5,1,1,1,1,1,1,,,1991,6,6,4,1,2,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199109710345,https://documents-dds-ny.un.org/doc/RESOLUTION/GEN/NR0/596/49/PDF/NR059649.pdf?OpenElement,UNSC: FRY 1 EP1,0,.,0,,1,1084,345,Yugoslavia,710,220,229,1,4400,9,25,1991,5,30,1992,,,,248,1,2,,0,1,1,,1,,0,0,1,0,10,1,3,1,3,0,0,,,,10,4,6,0,-2,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199109710345,https://digitallibrary.un.org/record/142881?ln=en,UNSC: FRY 1 EP2,0,,0,,1,1084,345,Yugoslavia,710,2,2,1,4400,9,12,1991,10,1,1996,,,,,1,,,0,1,0,,0,,0,0,1,0,10,1,3,1,3,0,0,,,,,,,,,,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199212710811,https://digitallibrary.un.org/record/154414?ln=en,UNSC: Cambodia,0,,0,,1,112,811,Cambodia,710,2,2,1,4400,12,1,1992,9,24,1993,,,,,1,,,0,1,0,,0,,0,0,1,0,5,1,1,1,1,0,0,,,,10,5,5,1,0,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199211710450,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N93/010/46/PDF/N9301046.pdf?OpenElement,UNSC: Liberia EP1,0,.,0,,1,592,450,Liberia,710,2,2,1,4400,11,19,1992,3,7,2001,,,,3030,1,2,,0,1,1,,1,,0,0,1,0,2,1,1,1,1,1,1,,,,10,4,6,0,-2,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199201710520,https://documents-dds-ny.un.org/doc/RESOLUTION/GEN/NR0/010/92/PDF/NR001092.pdf?OpenElement,UNSC: Somalia EP1,0,.,0,,1,866,520,Somalia,710,2,2,1,4400,1,23,1992,5,3,2002,,,,3753,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,0,0,,,,9,2,8,0,-6,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
1992083001,,Unverifiable,1,1992083001,1,,0,,816,"Vietnam, Democratic Republic of",710,,710,0,,8,30,1992,,,,,,,,0,13,,0,0,0,,1,5,0,0,0,0,0,0,0,0,0,0,0,8,30,1992,,,,0,,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199309710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N93/502/71/PDF/N9350271.pdf?OpenElement,UNSC: Angola EP1,0,.,0,,1,24,540,Angola,710,2,2,1,4400,9,15,1993,8,28,1997,,,,1443,1,2,,0,1,1,,1,,0,0,1,0,6,1,2,1,2,0,0,,,,10,5,5,1,1,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
19930871041,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N93/473/12/PDF/N9347312.pdf?OpenElement,UNSC: Haiti EP2,0,.,0,,1,426,41,Haiti,710,2,2,1,4400,8,27,1993,10,13,1993,,,,47,1,3,,0,1,1,,1,3,0,0,1,0,10,1,3,1,3,1,1,,,,10,3,7,0,-4,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
19931071041,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N93/555/41/PDF/N9355541.pdf?OpenElement,UNSC: Haiti EP3,0,.,0,,1,427,41,Haiti,710,2,2,1,4400,10,13,1993,5,6,1994,,,,205,1,3,,0,1,1,,1,9,0,0,1,0,10,1,3,1,3,1,1,,,,10,7,3,1,3,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
1993042401,,Unverifiable,1,1993042401,0,,0,,70,Mexico,710,,710,0,,4,24,1993,,,,12,17,2000,2794,0,13,,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,1,0,,,,1,2,8,1,,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199405710517,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N94/218/36/PDF/N9421836.pdf?OpenElement,UNSC: Rwanda EP1,0,.,0,,1,846,517,Rwanda,710,220,2,1,4400,5,17,1994,8,16,1995,,,,456,1,2,,0,1,1,,1,,0,0,1,0,3,1,1,1,1,0,0,,,,10,3,7,0,-5,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199503710002,https://docs.google.com/document/d/1FyrgSqzt9K1obG4tll2KUMfvqHUZgwO2eOrWuJXv7ZY/export?format=pdf,US-China Third Taiwan Strait Crisis,1,1995031601,0,0,3,16,1995,8,2,1995,United States,China,,,,2,,,,,0,,,,13,,,,1,1,,,,4,,1,2,3,,,1,,,,1,,,0,,,,,,,,,,,,,,,,,,,,5,5,5,,,,
199508710517,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N95/241/77/PDF/N9524177.pdf?OpenElement,UNSC: Rwanda EP2,0,.,0,,1,847,517,Rwanda,710,220,2,1,4400,8,16,1995,7,10,2008,,,,4712,1,2,,0,1,1,,1,,0,0,1,0,3,1,1,1,1,0,0,,,,10,3,7,0,-4,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199407710816,https://docs.google.com/document/d/1fy6q91Ic0Jmqj_mXBa-SRkKseXHHp1GE/export?format=pdf,China-Vietnam Oil Exploration Dispute,0,.,0,,0,,816,"Vietnam, Democratic Republic of",710,,710,0,,4,,1996,,,,,,,22,0,5,15,0,0,1,1,0,,0,0,0,0,3,1,1,1,1,0,1,,,,9,5,5,0,0,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
1.99705E+11,https://docs.google.com/document/d/1kRlIXAThejrV5xiNOSGeNH_734Kloati/export?format=pdf,Denmark Human Rights,1,1997040801,0,,0,,390,Denmark,710,,710,0,,4,8,1997,5,22,1997,,,,44,1,10,,0,1,1,1,1,9,1,1,0,1,6,1,2,1,1,1,1,,,,9,6,4,0,2,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199712710002,https://docs.google.com/document/d/1C2iuuhpevdh5QuCLKxbgHkRCDIaMIg9T/export?format=pdf,China USA Anti-Dumping (Paper),1,1997121101,0,,0,,2,United States of America,710,,710,0,,12,11,1997,6,30,2009,,,,2393,1,13,,1,0,1,4,1,3,1,1,0,0,2,1,1,1,1,1,1,12,11,1997,8,5,5,0,0,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199708710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N97/226/93/PDF/N9722693.pdf?OpenElement,UNSC: Angola EP2,0,.,0,,1,25,540,Angola,710,,2,1,4400,8,28,1997,6,12,1998,,,,288,1,2,,0,1,1,,1,,1,0,1,0,6,1,2,1,2,1,1,,,,10,5,5,1,1,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199710710645,https://digitallibrary.un.org/record/245325?ln=en,UNSC: Iraq EP1,0,.,0,,1,504,645,Iraq,710,2,2,1,4400,10,23,1997,6,8,2004,,,,,1,,,0,1,0,,0,,0,0,1,0,6,1,3,1,3,0,0,,,,6,6,4,1,1,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199710710451,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N97/267/13/PDF/N9726713.pdf?OpenElement,UNSC: Sierra Leone EP1,0,.,0,,1,855,451,Sierra Leone,710,,2,1,4400,10,8,1997,3,16,1998,,,,159,1,3,,0,1,1,,1,3,1,0,1,0,3,1,1,1,1,0,0,,,,10,9,1,1,7,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199712710020,https://docs.google.com/document/d/1C2iuuhpevdh5QuCLKxbgHkRCDIaMIg9T/export?format=pdf,China Canada Anti-Dumping (Paper),1,1997121102,0,,0,,20,Canada,710,,710,0,4580,12,11,1997,6,30,2009,,,,2393,1,13,,1,0,1,4,1,3,0,1,0,0,2,1,1,1,1,,,12,11,1997,9,5,5,0,0,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199712710732,https://docs.google.com/document/d/1C2iuuhpevdh5QuCLKxbgHkRCDIaMIg9T/export?format=pdf,China Korea Anti-Dumping (Paper),1,1997121103,0,,0,,732,"Korea, Republic of",710,,710,0,4580,12,11,1997,6,30,2009,,,,2393,1,13,,1,0,1,4,1,3,0,1,0,0,2,1,1,1,1,,,12,11,1997,9,5,5,0,0,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200203710365,https://docs.google.com/document/d/1-FW3y9VrAoHpDmYA7KQqs9gJbdRXoV5r9B3otBsUnG0/export?format=pdf,China-Russia Steel Imports,1,1998079901,0,0,7,,1998,,,,Colombia,China,,,,100,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,7,,1998,5,3,,,0,,,,1,,,,1,,,,9,-9,-9,,,,
199806710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N98/166/52/PDF/N9816652.pdf?OpenElement,UNSC: Angola EP3,0,.,0,,1,26,540,Angola,710,,2,1,4400,6,12,1998,1,12,1999,,,,214,1,2,,0,1,1,,1,,1,0,1,0,6,1,2,1,2,1,1,,,,10,6,4,1,2,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199803710451,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N98/066/30/PDF/N9806630.pdf?OpenElement,UNSC: Sierra Leone EP2,0,.,0,,1,856,451,Sierra Leone,710,,2,1,4400,3,16,1998,10,22,1999,,,,585,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,1,1,,,,10,3,7,0,-3,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
19980080701,,Unverifiable,1,1998080701,0,,0,,365,Russia (Soviet Union),710,,710,0,,8,7,1998,,,,1,14,2004,1986,0,13,,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,8,7,1998,,,,0,,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199901710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N99/006/43/PDF/N9900643.pdf?OpenElement,UNSC: Angola EP4,0,.,0,,0,,540,Angola,710,,2,1,4400,1,12,1999,12,9,2002,,,,1427,1,2,,0,1,1,,1,,1,0,1,0,6,1,2,1,2,1,1,,,,10,7,3,1,5,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
199910710451,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N99/315/02/PDF/N9931502.pdf?OpenElement,UNSC: Sierra Leone EP3,0,.,0,,0,,451,Sierra Leone,710,,2,1,4400,10,22,1999,7,5,2000,,,,257,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,1,1,,,,10,3,7,0,-3,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200005710530,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N00/437/11/PDF/N0043711.pdf?OpenElement,UNSC: Ethiopia-Eritrea EP1,0,.,0,,1,312,530,Ethiopia,710,2,2,1,4400,5,17,2000,5,16,2001,,,,364,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,0,0,,,,10,7,3,1,3,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200005710531,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N00/437/11/PDF/N0043711.pdf?OpenElement,UNSC: Ethiopia-Eritrea EP1,0,.,0,,1,299,531,Eritrea,710,2,2,1,4400,5,17,2000,5,16,2001,,,,364,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,0,0,,,,10,7,3,1,3,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200007710451,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N00/517/01/PDF/N0051701.pdf?OpenElement,UNSC: Sierra Leone EP4,0,.,0,,1,857,451,Sierra Leone,710,,2,1,4400,7,5,2000,1,16,2002,,,,560,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,1,1,,,,10,9,1,1,7,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200104710002,https://docs.google.com/document/d/1iWIduD7dgWHm88AoCg65mW4O2JpUoejp/edit?export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,Hainan Island Incident,1,2001040101,0,0,4,1,2001,7,3,2001,United States,China,,,,2,,,,,0,,,,15,,,demand the detained plan and crew back,1,2,,,,10,,2,3,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,9,1,,,,
200109710700,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N01/557/43/PDF/N0155743.pdf?OpenElement,UNSC: AQT EP3,0,.,0,,1,987,700,Afghanistan,710,2,2,1,4400,9,11,2001,6,17,2011,,,,3566,1,10,,0,1,1,,1,,1,0,1,0,10,1,3,1,3,1,1,,,,9,10,0,1,10,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200103710450,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N01/276/08/PDF/N0127608.pdf?OpenElement,UNSC: Liberia EP2,0,.,0,,1,594,450,Liberia,710,2,2,1,4400,3,7,2001,5,6,2003,,,,790,1,2,,0,1,1,,1,,1,0,1,0,2,1,1,1,1,1,1,,,,10,7,3,1,5,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200106710740,https://docs.google.com/document/d/1pLafr_qaGSLubOitJuOusb4qO-L-ak0jMj8HahRKR4k/export?format=pdf,China Japanese Vegetables,1,2001042301,0,,0,,740,Japan,710,,710,1,4580,4,23,2001,12,27,2001,,,,248,1,13,,1,0,1,5,1,3,0,1,0,0,6,2,2,1,1,,,6,22,2001,10,5,5,1,0,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200203710002,https://docs.google.com/document/d/1kjZy53h2XVDcKijH1r0STR_MCCmPSby2SGNeM54SxBI/export?format=pdf,WTO: China challenges US over Steel Safeguards,0,,0,0,3,26,2002,12,4,2003,United States,China,,,,2,,,,,1,4580,,,13,,,,1,1,,,,3,,,,,,,1,,,,1,,,1,6,25,2002,6,3,,,,,,,1,,,,1,,,,6,,,,,,
200211710712,https://docs.google.com/document/d/1VtKtGsCfCT6zfnb9BlWYMhm36pQVTxvOa5DQCnkICYQ/export?format=pdf,Dalai Lama Visits Mongolia 2002,0,.,0,,0,,712,Mongolia,710,,710,0,,11,5,2002,11,7,2002,,,,2,1,10,,0,1,1,0,1,2,1,1,0,0,2,1,1,1,1,1,1,11,5,2002,8,4,6,0,-2,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200201710451,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N02/215/96/PDF/N0221596.pdf?OpenElement,UNSC: Sierra Leone EP5,0,.,0,,0,,451,Sierra Leone,710,,2,1,4400,1,16,2002,9,29,2010,,,,3178,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,1,1,,,,10,10,0,1,10,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200205710520,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N02/366/07/PDF/N0236607.pdf?OpenElement,UNSC: Somalia EP2,0,.,0,,0,,520,Somalia,710,200,2,1,4400,5,3,2002,11,20,2008,,,,2393,1,2,,0,1,1,,1,,0,0,1,0,4,1,2,1,2,0,0,,,,9,2,8,0,-6,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200307710490,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N03/443/15/PDF/N0344315.pdf?OpenElement,UNSC: DRC EP1,0,.,0,,1,209,490,"Congo, Democratic Republic of (Zaire)",710,220,2,1,4400,7,28,2003,4,18,2005,,,,630,1,2,,0,1,1,,1,,0,0,1,0,6,1,2,1,2,0,0,,,,9,4,6,0,-2,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200305710645,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N03/368/53/PDF/N0336853.pdf?OpenElement,UNSC: Iraq EP2,0,.,0,,1,505,645,Iraq,710,2,2,1,4400,5,22,2003,6,8,2004,,,,383,1,2,,0,1,1,,1,,0,0,1,0,10,1,3,1,3,1,0,,,,7,7,3,1,4,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200305710450,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N03/348/12/PDF/N0334812.pdf?OpenElement,UNSC: Liberia EP3,0,.,0,,1,595,450,Liberia,710,2,2,1,4400,5,6,2003,12,22,2003,,,,230,1,2,,0,1,1,,1,,1,0,1,0,3,1,1,1,1,1,1,,,,10,9,1,1,9,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
