Case ID,Narrative Link,caseid_name,TIES,TIES Code,EUSANCT,GSDB,startmonth,startday,startyear,endmonth,endday,endyear,primarysender,targetstate,ongoingasofmonth,ongoingasofday,ongoingasofyear,sender1,sender2,sender3,sender4,sender5,institution,institutionid,targetinstitution,otherinstitution,issue1,issue2,issue3,otherissue,threat,threatid1,threatid2,threatid3,terminateaid,sanctiontypethreat,othersanctiontypethreatened,bspecif,scommit,threatenedtargetinterest,dsanctions,carrots,anticipatedtargetcosts,anticipatedtargetcostsfigureifav,tcurrency,tyearofestimate,anticipatedsendercosts,scurrency,syearofestimate,imposition,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,sanctionidentity,sanctiontype,othersanctiontype,implementationofdiplomaticsancti,carrotsduringsanction,carrotvalue,carrotcurrency,carrotyear,targetcosts,targeteconomiccostsfigure,targeteconomiccostscurrency,targeteconomiccostsyear,sendercosts,sendereconomiccostsfigure,sendereconomiccostscurrency,sendereconomiccostsyear,finaloutcome,settlementnaturesender,settlementnaturetarget
1945121601,https://drive.google.com/file/d/1O8XW8KSKlbVjmBoZrtcdPmE1Yvp53wyJ/view?usp=sharing,USA-ROC Sanctions,1,1945121601,0,0,12,16,1945,5,27,1947,United States,China,,,,2,,,,,1,4400,1,,2,,,,1,5,,,,8,,2,2,1 5,,,2,,,,1,U.S.Dollars,1945,1,7,29,1946,4,2 7,,,0,,,,2,,,,1,,,,8,2,8
1950062901,https://drive.google.com/file/d/1x2p-Du-7irLQsMt8JobpDUIsuDxfpp62/view?usp=sharing,USA Sanctions China Korean War,1,1950062901,0,0,6,29,1950,7,27,1953,United States,China,,,,2,200,740,255,220,1,,0,CHINCOM,2,,,,0,,,,,,,,,,,,,,,,,,,1,6,29,1950,1 5,2 6,,,0,,,,2,,,,1,,,,9,2,6
1951002901,NA,Unverifiable,0,,0,1,,,1951,,,1979,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952740901,NA,Unverifiable,0,,0,1,,,1952,,,1954,Japan,China,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956050804,NA,Unverifiable,1,1956050804,0,0,5,8,1956,6,17,1957,United States,China,,,,2,,,,,1,4400,1,ILO,8,,,,1,1,,,,1,,1,1,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,5,8
1960079901,https://drive.google.com/file/d/1dlJ8oUdu7Zk2l4CCqnr9YoBa2imAo_zf/view?usp=sharing,Russia Sino-Soviet Split,1,1960079901,0,0,7,,1960,9,27,1979,Russia,China,,,,365,,,,,0,,,,3,2,,,0,,,,,,,,,,,,,,,,,,,1,7,,1960,5,2,,4,0,,,,2,,,,1,,,,8,1,5
1967081201,https://drive.google.com/file/d/1jZykW6vNnI_XN_QoeEouBUcjwWqR7of-/view?usp=sharing,Svirsk Docking Dispute,1,1967081201,0,0,8,12,1967,8,13,1967,Russia,China,,,,365,,,,,0,,,,4,,,,1,6,,,,1,"to sever trade, not saying how",2,1,3,,,2,"less than 416,000,000",us dollars,1965,1,,,0,,,,,,,,,,,,,,,,,,,,2,10,1
1979999914,https://drive.google.com/file/d/1lzGOLISIk0eA8-8Z_e_Xf1dPOc9y69wg/view?usp=sharing,Russia-China Vietnam War,1,1979999914,0,0,,,1979,2,25,1979,Russia,China,,,,365,,,,,1,4400,,,2,,,,1,6,,,,3,,2,3,5,,,1,,,,1,,,0,,,,,,,,,,,,,,,,,,,,3,2,8
1983011301,https://docs.google.com/document/d/1m68JSyHTQT7cIHPp1olKzftKaGLwlazVJ9teg8j_z_w/edit?usp=sharing,USA-China Textile Imports I,1,1983011301,0,0,1,13,1983,,,,United States,China,,,,2,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,1,13,1983,5 2,3,,,0,,,,,,,,,,,,,,
1983072501,https://docs.google.com/document/d/1RyxzDvl_wXE7S9dDYp9Da1P-f0F547hjZvNwCMw9rsc/edit?usp=sharing,ILO Sanctions-China,1,1983072501,0,0,7,25,1983,,,,United States,China,,,,2,,,,,0,,,,13,,,,1,1,,,,4,,2,2,,,,,,,,,,,0,7,25,1983,1,3,,,0,,,,,,,,,,,,,,
1987059901,NA,Unverifiable,1,1987059901,0,0,5,,1987,8,12,1988,Japan,China,,,,740,,,,,0,,,,6,,,,0,,,,,,,,,,,,,,,,,,,1,5,,1987,5,9,,,0,,,,1,16000000,USD,1987,1,,,,8,2,8
198906900710,,Australia Tiananmen,0,,0,1,,,1989,,,,Australia,China,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198906020710,https://docs.google.com/document/d/1SK3AepHTu66Ld5IaNlppYiYtecu5NPwEMAg8fI4QuOo/edit?usp=sharing,Canada Tiananmen,0,,0,0,6,,1989,,,,Canada,China,10,8,1992,20,,,,,0,,,,13,,,,1,1,,,0,4,,2,1,3,,,1,,,,,,,1,1,4,1990,1,1,,,0,,,,1,,,,1,,,,9,,
1989060601,https://drive.google.com/file/d/1DMqJbraEdL2UZoestKlOAQ1U2Dk-L0Wr/view?usp=sharing,USA Tiananmen,1,1989060601,0,0,6,6,1989,1,11,1990,United States,China,,,,2,200,740,260,220,1,1653 2400,,,8,,,,1,2,5,,,10 3,,2,2,1 5,,,2,,,,1,,,1,6,6,1989,4 5,4 9,,,3,,,,2,,,,1,,,,8,3,7
1990010402,NA,Unverifiable,1,1990010402,0,0,1,4,1990,,,,Canada,China,10,8,1992,20,,,,,0,,,,13,,,,1,1,,,,4,,2,1,3,,,1,,,,,,,1,1,4,1990,1,1,,,0,,,,1,,,,1,,,,,,
1990061101,NA,Unverifiable,1,1990061101,0,0,6,11,1990,,,,Germany,China,,,,255,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,1,6,11,1990,6,3,,,0,,,,1,,,,1,,,,,,
1991042901,https://docs.google.com/document/d/1tF8WmL9FaJ-ecRcRTCuOG5w93trqBt30-DG016JNz-A/edit?usp=sharing,USA China IP,1,1991042901,0,0,4,29,1991,,,,Germany,China,,,,255,,,,,1,1653,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,1,4,29,1991,6,3,,,0,,,,1,,,,1,,,,,,
1991011201,https://docs.google.com/document/d/1vU1W2VPDjappGBdTTZbWK9sCb08-tfnu28dQcwCL3fg/edit?usp=sharing,USA China Chemical Export Ban,1,1991011201,0,0,1,12,1991,7,31,1992,United Kingdom,China,,,,200,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,0,,,,,,,,0,,,,,,,,,,,,4,4,6
1991032001,NA,Unverifiable,1,1991032001,0,0,3,20,1991,1,18,1992,United States,China,,,,2,,,,,0,,,,13,,,,1,2,6,1,,4,,2,2,3,,,1,,,,1,,,0,,,,,,,,,,,,,,,,,,,,5,7,3
1991049901,,USA export controls on dual-use tech,1,1991049901,1,0,4,,1991,1,18,1992,United States,China,,,,2,,,,,0,,,,13,,,,1,3,5,,,4,,2,2,3,,,2,15,billion dollars,1991,1,,,0,,,,,,,,0,,,,,,,,,,,,5,3,7
1991012201,NA,Unverifiable,1,1991012201,0,0,1,22,1991,,,,Germany,China,5,1,2006,255,,,,,1,1653,0,,13,,,,1,8,,,,4,,2,1,3,,,1,,,,,,,1,1,22,1991,6,3,,,0,,,,1,,,,1,,,,,,
1992081301,https://drive.google.com/file/d/1gZM1hE3g5Gp4Mtl74zjbOTs9mwBUv1K3/view?usp=sharing,USA China Satellite Dispute II,1,1992081301,0,0,8,13,1992,,,,Canada,China,6,20,2005,20,,,,,0,,,,13,,,,1,1,,,,4,,2,2,3,,,1,,,,1,,,1,8,13,1992,1,3,,,0,,,,1,,,,1,,,,,,
1992050701,https://drive.google.com/file/d/1wPlmL9_IibdBrWbi96D_G-aT2xnpUDXE/view?usp=sharing,USA China Textile Dispute,1,1992050701,0,0,5,7,1992,,,,United States,China,6,10,2005,2,,,,,0,,,,8,,,,1,2,,,,10,,2,1,4,,,,,,,1,,,0,,,,,,,,0,,,,,,,,,,,,4,5,5
1992121001,NA,Unverifiable,1,1992121001,0,0,12,10,1992,,,,Japan,China,,,,740,,,,,0,,,,13,,,,1,1,,,,4,,2,3,3,,,1,,,,1,,,1,12,10,1992,1,3,,,0,,,,1,,,,1,,,,,,
1993041601,https://docs.google.com/document/d/18DWMmhISr-7-zc1UXwwlrx3lfRzicPFqMzZ-gK_bX5c/edit?usp=sharing,Mexico Sanctions Chinese Imports,1,1993041601,0,0,4,16,1993,,,,Mexico,China,12,17,2000,70,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,4,16,1993,5,3,,,3,,,,1,225000000,USD,1993,1,,,,9,,
1993031501,NA,Unverifiable,1,1993031501,0,0,3,15,1993,,,,Germany,China,6,9,2005,255,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,2,3,,,1,,,,1,,,1,3,15,1993,6,3,,,0,,,,1,,,,1,,,,,,
