Case ID,Narrative Link.x,caseid_name,TIES,TIES Code,EUSANCT,GSDB,startmonth,startday,startyear,endmonth,endday,endyear,primarysender,targetstate,ongoingasofmonth,ongoingasofday,ongoingasofyear,sender1,sender2,sender3,sender4,sender5,institution,institutionid,targetinstitution,otherinstitution,issue1,issue2,issue3,otherissue,threat,threatid1,threatid2,threatid3,terminateaid,sanctiontypethreat,othersanctiontypethreatened,bspecif,scommit,threatenedtargetinterest,dsanctions,carrots,anticipatedtargetcosts,anticipatedtargetcostsfigureifav,tcurrency,tyearofestimate,anticipatedsendercosts,scurrency,syearofestimate,imposition,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,sanctionidentity,sanctiontype,othersanctiontype,implementationofdiplomaticsancti,carrotsduringsanction,carrotvalue,carrotcurrency,carrotyear,targetcosts,targeteconomiccostsfigure,targeteconomiccostscurrency,targeteconomiccostsyear,sendercosts,sendereconomiccostsfigure,sendereconomiccostscurrency,sendereconomiccostsyear,finaloutcome,settlementnaturesender,settlementnaturetarget,
194508002710,https://docs.google.com/document/d/1O8XW8KSKlbVjmBoZrtcdPmE1Yvp53wyJ/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,USA-ROC Sanctions,1,1945121601,0,0,12,16,1945,5,27,1947,United States,China,,,,2,,,,,1,4400,1,,2,,,,1,5,,,,8,,2,2,1 5,,,2,,,,1,U.S.Dollars,1945,1,7,29,1946,4,2 7,,,0,,,,2,,,,1,,,,8,2,8,
195006002710,https://docs.google.com/document/d/1x2p-Du-7irLQsMt8JobpDUIsuDxfpp62/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,US Sanctions China Korean War,1,1950062901,0,0,6,29,1950,7,27,1953,United States,China,,,,2,200,740,255,220,1,,0,CHINCOM,2,,,,0,,,,,,,,,,,,,,,,,,,1,6,29,1950,1 5,2 6,,,0,,,,2,,,,1,,,,9,2,6,
195105200710,https://docs.google.com/document/d/1a6G-lPeHoPKfljpSkhRwyu2hxzRazronknN6KiWsGq0/export?format=pdf,Embargo on Malaysian Rubber,1,1958112101,0,,5,10,1951,6,4,1956,United Kingdom,China,,,,200,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1951002901,,Unverifiable,0,,0,1,,,1951,,,1979,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952740901,,Unverifiable,0,,0,1,,,1952,,,1954,Japan,China,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956050804,,Unverifiable,1,1956050804,0,0,5,8,1956,6,17,1957,United States,China,,,,2,,,,,1,4400,1,ILO,8,,,,1,1,,,,1,,1,1,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,5,8,
196007365710,https://docs.google.com/document/d/1dlJ8oUdu7Zk2l4CCqnr9YoBa2imAo_zf/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,Sino-Soviet Split,1,1960079901,0,0,7,,1960,9,27,1979,Russia,China,,,,365,,,,,0,,,,3,2,,,0,,,,,,,,,,,,,,,,,,,1,7,,1960,5,2,,4,0,,,,2,,,,1,,,,8,1,5,
196708365710,https://docs.google.com/document/d/1oVd4TjvRh-e2OZ5EauLv900Acj6bayoDG2lQL0TX5sw/export?format=pdf,Svirsk Docking Dispute,1,1967081201,0,0,8,12,1967,8,13,1967,Russia,China,,,,365,,,,,0,,,,4,,,,1,6,,,,1,"to sever trade, not saying how",2,1,3,,,2,"less than 416,000,000",us dollars,1965,1,,,0,,,,,,,,,,,,,,,,,,,,2,10,1,
197902365710,https://docs.google.com/document/d/1YpKj1JEblSmc6G7mQ_Tzla18nOK2CtPnVXYXG-CFpto/export?format=pdf,Soviet sanctions over China-Vietnam War,1,1979999914,0,0,,,1979,2,25,1979,Russia,China,,,,365,,,,,1,4400,,,2,,,,1,6,,,,3,,2,3,5,,,1,,,,1,,,0,,,,,,,,,,,,,,,,,,,,3,2,8,
198301002710,https://docs.google.com/document/d/1m68JSyHTQT7cIHPp1olKzftKaGLwlazVJ9teg8j_z_w/export?format=pdf,US-China Textile Imports 1983,1,1983011301,0,0,1,13,1983,,,,United States,China,,,,2,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,1,13,1983,5 2,3,,,0,,,,,,,,,,,,,,,
